id;Sensorname;Type;Subtype;Value1;Value2;ValueDiff;Duration;Timestamp
324108;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 08:52:12.069"""
324109;H_Eingag_cyrspec_temp;zwave;Temperature;11.96;;;;"=""2020-12-22 09:00:14.031"""
324110;H_Eingag_cyrspec_moist;zwave;MoistPercent;78.83;;;;"=""2020-12-22 09:00:14.047"""
324111;H_Eingag_cyrspec_light;zwave;LightPercent;99.65;;;;"=""2020-12-22 09:00:14.647"""
324112;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 09:05:26.429"""
324113;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 09:08:40.118"""
324114;S_Schub_Wand_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:13:16.449"""
324115;K_IT_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:13:55.135"""
324116;S_Schub_Wand_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:15:24.120"""
324117;Drehwand;turn;93-0;55.29;43.22;12.07;1530;"=""2020-12-22 09:15:47.997"""
324118;W_Schub_Wand_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:18:34.737"""
324119;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:18:58.309"""
324120;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:19:00.342"""
324121;K_Schrank_Oben_03_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:19:15.219"""
324122;K_Schrank_Oben_02_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:19:17.463"""
324123;W_Schub_Bad_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:20:10.031"""
324124;K_Schrank_Oben_03_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:20:53.820"""
324125;K_Schrank_Oben_02_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:20:54.052"""
324126;K_Wasch_Str;zwave;Contact;OPEN;;;;"=""2020-12-22 09:21:11.339"""
324127;LampeAussenwand;turn;91-0;68.53;68.54;0.01;510;"=""2020-12-22 09:21:56.540"""
324128;K_Wasch_Str;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:24:32.076"""
324129;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:24:38.341"""
324130;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:24:40.845"""
324131;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:25:47.499"""
324132;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:25:49.866"""
324133;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:26:29.863"""
324134;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:26:33.580"""
324135;K_IT_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:26:49.289"""
324136;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:34:55.257"""
324137;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:34:58.670"""
324138;K_Schrank_Oben_04_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:35:09.507"""
324139;K_Schrank_Oben_03_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:35:13.019"""
324140;K_Schrank_Oben_02_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:35:15.026"""
324141;K_Schrank_Oben_03_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:35:15.751"""
324142;K_Schrank_Oben_02_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:35:16.741"""
324143;K_Schrank_Oben_04_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:35:17.122"""
324144;K_Schrank_Oben_05_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:35:17.961"""
324145;K_Schrank_Oben_05_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:35:23.968"""
324146;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:35:30.992"""
324147;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:35:46.638"""
324148;K_Schub_Oben_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:39:19.392"""
324149;K_Schub_Oben_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:39:36.011"""
324150;K_Schub_Oben_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:39:39.833"""
324151;K_Schub_Oben_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:39:50.072"""
324152;K_Schrank_Oben_01_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:40:55.328"""
324153;K_Schrank_Oben_01_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:41:04.184"""
324154;K_Schrank_Oben_01_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:41:06.397"""
324155;K_Schrank_Oben_03_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:41:08.459"""
324156;K_Schrank_Oben_03_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:41:10.908"""
324157;K_Schrank_Oben_02_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:41:11.903"""
324158;K_Schrank_Oben_02_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:41:13.476"""
324159;K_Schrank_Oben_01_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:41:42.031"""
324160;K_Schrank_Oben_05_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:42:00.865"""
324161;K_Schrank_Oben_05_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:42:05.793"""
324162;K_Schrank_Oben_05_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:42:05.991"""
324163;K_Schrank_Oben_05_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 09:42:06.405"""
324164;LampeAussenwand;turn;91-0;68.54;69.25;0.71;612;"=""2020-12-22 09:48:23.506"""
324165;S_Schub_Kueche_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 09:50:57.955"""
324166;W_Balkon_cyrspec_temp;zwave;Temperature;11.32;;;;"=""2020-12-22 09:59:08.561"""
324167;W_Balkon_cyrspec_moist;zwave;MoistPercent;107.12;;;;"=""2020-12-22 09:59:08.679"""
324168;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 09:59:09.203"""
324169;W_Balkon_cyrspec_temp;zwave;Temperature;11.64;;;;"=""2020-12-22 10:13:52.368"""
324170;W_Balkon_cyrspec_moist;zwave;MoistPercent;109.18;;;;"=""2020-12-22 10:13:52.512"""
324171;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:13:53.060"""
324172;W_Balkon_cyrspec_temp;zwave;Temperature;11.65;;;;"=""2020-12-22 10:16:47.525"""
324173;W_Balkon_cyrspec_moist;zwave;MoistPercent;108.63;;;;"=""2020-12-22 10:16:47.695"""
324174;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:16:48.188"""
324175;W_Balkon_cyrspec_temp;zwave;Temperature;11.7;;;;"=""2020-12-22 10:19:48.833"""
324176;W_Balkon_cyrspec_moist;zwave;MoistPercent;109.14;;;;"=""2020-12-22 10:19:48.931"""
324177;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:19:49.446"""
324178;W_Balkon_cyrspec_temp;zwave;Temperature;11.85;;;;"=""2020-12-22 10:22:46.067"""
324179;W_Balkon_cyrspec_moist;zwave;MoistPercent;109.65;;;;"=""2020-12-22 10:22:46.236"""
324180;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:22:46.707"""
324181;K_Kuehl_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 10:23:14.187"""
324182;K_Kuehl_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 10:23:22.713"""
324183;W_Balkon_cyrspec_temp;zwave;Temperature;12.02;;;;"=""2020-12-22 10:25:41.083"""
324184;W_Balkon_cyrspec_moist;zwave;MoistPercent;108.72;;;;"=""2020-12-22 10:25:41.228"""
324185;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:25:41.800"""
324186;W_Fen_Wand_Str;zwave;Contact;OPEN;;;;"=""2020-12-22 10:26:28.047"""
324187;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 10:26:46.055"""
324188;H_Eingag_cyrspec_temp;zwave;Temperature;13.04;;;;"=""2020-12-22 10:26:51.625"""
324189;H_Eingag_cyrspec_moist;zwave;MoistPercent;77.27;;;;"=""2020-12-22 10:26:51.651"""
324190;H_Eingag_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:26:52.237"""
324191;W_Fen_Wand_Str;zwave;Contact;CLOSED;;;;"=""2020-12-22 10:27:04.773"""
324192;W_Fen_Wand_Str;zwave;Contact;OPEN;;;;"=""2020-12-22 10:27:23.725"""
324193;W_Fen_Wand_Str;zwave;Contact;CLOSED;;;;"=""2020-12-22 10:27:24.897"""
324194;W_Fen_Wand_Str;zwave;Contact;OPEN;;;;"=""2020-12-22 10:27:46.220"""
324195;W_Balkon_cyrspec_temp;zwave;Temperature;12.06;;;;"=""2020-12-22 10:28:41.828"""
324196;W_Balkon_cyrspec_moist;zwave;MoistPercent;109.79;;;;"=""2020-12-22 10:28:42.006"""
324197;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:28:42.530"""
324198;W_Fen_Wand_Str;zwave;Contact;CLOSED;;;;"=""2020-12-22 10:30:13.040"""
324199;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 10:30:14.905"""
324200;W_Fen_Wand_Str;zwave;Contact;OPEN;;;;"=""2020-12-22 10:30:16.586"""
324201;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 10:30:24.444"""
324202;W_Balkon_cyrspec_temp;zwave;Temperature;12.11;;;;"=""2020-12-22 10:31:39.198"""
324203;W_Balkon_cyrspec_moist;zwave;MoistPercent;102.34;;;;"=""2020-12-22 10:31:39.360"""
324204;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:31:39.812"""
324205;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 10:33:49.624"""
324206;W_Balkon_cyrspec_temp;zwave;Temperature;12.12;;;;"=""2020-12-22 10:34:38.878"""
324207;W_Balkon_cyrspec_moist;zwave;MoistPercent;110.27;;;;"=""2020-12-22 10:34:39.052"""
324208;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:34:39.563"""
324209;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 10:35:10.420"""
324210;W_Fen_Wand_Str;zwave;Contact;CLOSED;;;;"=""2020-12-22 10:35:59.372"""
324211;W_Balkon_cyrspec_temp;zwave;Temperature;12.12;;;;"=""2020-12-22 10:37:35.757"""
324212;W_Balkon_cyrspec_moist;zwave;MoistPercent;111.47;;;;"=""2020-12-22 10:37:35.929"""
324213;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:37:36.381"""
324214;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 10:38:31.660"""
324215;W_Balkon_cyrspec_temp;zwave;Temperature;12.23;;;;"=""2020-12-22 10:40:35.669"""
324216;W_Balkon_cyrspec_moist;zwave;MoistPercent;111.26;;;;"=""2020-12-22 10:40:35.839"""
324217;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:40:36.275"""
324218;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 10:41:03.249"""
324219;W_Balkon_cyrspec_temp;zwave;Temperature;12.22;;;;"=""2020-12-22 10:43:34.429"""
324220;W_Balkon_cyrspec_moist;zwave;MoistPercent;111.91;;;;"=""2020-12-22 10:43:34.589"""
324221;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:43:35.090"""
324222;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 10:44:24.499"""
324223;W_Balkon_cyrspec_temp;zwave;Temperature;12.18;;;;"=""2020-12-22 10:46:30.235"""
